RDSI ID,Road Type,Road Name,Road Width (m),Road Length (m),Road Median Available,Road Pedestrian Available,Road Street Light Available,Road under ground Available,Road Bus Shelter Available
1000450300101,ULB ROAD,S P KANNUSAMY STREET,7.43,123.22,Not Available,Not Available,Available,Not Available,Not Available
1000450300102,ULB ROAD,PATHI GOUNDER THOTTAM,4.56,118.83,Not Available,Not Available,Available,Not Available,Not Available
1000450300103,ULB ROAD,VEDHAMBAL NAGAR,4.25,183.03,Not Available,Not Available,Available,Not Available,Not Available
1000450300104,ULB ROAD,KAMARAJAPURAM,4.21,52.70,Not Available,Not Available,Available,Not Available,Not Available
1000450300105,ULB ROAD,TNEB COLONY,6.17,51.94,Not Available,Not Available,Available,Not Available,Not Available
1000450300106,ULB ROAD,KAMARAJAPURAM,7.02,50.85,Not Available,Not Available,Available,Not Available,Not Available
1000450300107,ULB ROAD,KAMARAJAPURAM,4.12,74.41,Not Available,Not Available,Available,Not Available,Not Available
1000450300108,ULB ROAD,VEDHAMBAL NAGAR,2.71,106.96,Not Available,Not Available,Available,Not Available,Not Available
1000450300109,ULB ROAD,VEDHAMBAL NAGAR,4.25,38.40,Not Available,Not Available,Available,Not Available,Not Available
1000450300110,ULB ROAD,VEDHAMBAL NAGAR,6.57,37.12,Not Available,Not Available,Available,Not Available,Not Available
1000450300111,ULB ROAD,RAJIV GANDHI SALAI,6.05,100.19,Not Available,Not Available,Available,Not Available,Not Available
1000450300112,ULB ROAD,RAJIV GANDHI SALAI,6.05,70.30,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300113,ULB ROAD,S P KANNUSAMY STREET,8.06,93.75,Not Available,Not Available,Available,Not Available,Not Available
1000450300114,ULB ROAD,S P KANNUSAMY STREET,8.06,106.01,Not Available,Not Available,Available,Not Available,Not Available
1000450300115,ULB ROAD,S P KANNUSAMY STREET,8.06,49.36,Not Available,Not Available,Available,Not Available,Not Available
1000450300116,ULB ROAD,SANGANOOR ROAD CROSS,4.24,80.13,Not Available,Not Available,Available,Not Available,Not Available
1000450300117,ULB ROAD,PATHI GOUNDER THOTTAM,6.77,81.07,Not Available,Not Available,Available,Not Available,Not Available
1000450300118,ULB ROAD,LENIN NAGAR,7.02,86.17,Not Available,Not Available,Available,Not Available,Not Available
1000450300119,ULB ROAD,TNEB COLONY,6.96,25.03,Not Available,Not Available,Available,Not Available,Not Available
1000450300120,ULB ROAD,PATHI GOUNDER THOTTAM,4.21,43.78,Not Available,Not Available,Available,Not Available,Not Available
1000450300121,ULB ROAD,PATHI GOUNDER THOTTAM,4.56,23.36,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300124,ULB ROAD,S P KANNUSAMY STREET,7.43,33.06,Not Available,Not Available,Available,Not Available,Not Available
1000450300125,ULB ROAD,S P KANNUSAMY STREET,7.43,52.35,Not Available,Not Available,Available,Not Available,Not Available
1000450300126,ULB ROAD,S P KANNUSAMY STREET,7.43,59.78,Not Available,Not Available,Available,Not Available,Not Available
1000450300127,ULB ROAD,TNEB COLONY,4.22,37.51,Not Available,Not Available,Available,Not Available,Not Available
1000450300128,ULB ROAD,PATHI GOUNDER THOTTAM,4.22,24.71,Not Available,Not Available,Available,Not Available,Not Available
1000450300129,ULB ROAD,PATHI GOUNDER THOTTAM,4.96,32.88,Not Available,Not Available,Available,Not Available,Not Available
1000450300130,ULB ROAD,PATHI GOUNDER THOTTAM,4.96,75.00,Not Available,Not Available,Available,Not Available,Not Available
1000450300131,ULB ROAD,GANDHI NAGAR,6.77,45.42,Not Available,Not Available,Available,Not Available,Not Available
1000490300131,ULB ROAD,NEHRU STREET,8.29,45.65,Not Available,Not Available,Available,Available,Not Available
1000480300301,ULB ROAD,NEHRU STREET,3.68,8.32,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300132,ULB ROAD,THANDAL RAMAN  STREET,4.50,81.28,Not Available,Not Available,Available,Not Available,Not Available
1000450300133,ULB ROAD,SANGANOOR ROAD CROSS,4.24,109.99,Not Available,Not Available,Available,Not Available,Not Available
1000450300134,ULB ROAD,PATHI GOUNDER THOTTAM,4.56,49.35,Not Available,Not Available,Available,Not Available,Not Available
1000450300135,ULB ROAD,PATHI GOUNDER THOTTAM,4.56,51.64,Not Available,Not Available,Available,Not Available,Not Available
1000450300136,ULB ROAD,PATHI GOUNDER THOTTAM,4.56,38.19,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300137,ULB ROAD,PATHI GOUNDER THOTTAM,4.56,37.25,Not Available,Not Available,Available,Not Available,Not Available
1000450300138,ULB ROAD,GANDHI NAGAR,4.21,41.91,Not Available,Not Available,Available,Not Available,Not Available
1000450300139,ULB ROAD,PATHI GOUNDER THOTTAM,4.21,72.72,Not Available,Not Available,Available,Not Available,Not Available
1000450300140,ULB ROAD,KANARAJAPUR 3RD STREET,6.07,89.14,Not Available,Not Available,Available,Not Available,Not Available
1000450300141,ULB ROAD,KAMARAJAPURAM,6.15,42.48,Not Available,Not Available,Available,Not Available,Not Available
1000450300142,ULB ROAD,KAMARAJAPURAM,7.02,20.42,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300143,ULB ROAD,PATHI GOUNDER THOTTAM,4.35,104.50,Not Available,Not Available,Available,Not Available,Not Available
1000450300144,ULB ROAD,PERIYASAMY LAYOUT,4.54,57.66,Not Available,Not Available,Available,Not Available,Not Available
1000450300145,ULB ROAD,TNEB COLONY,6.96,53.30,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300146,ULB ROAD,KANNAN NAGAR,7.12,98.65,Not Available,Not Available,Available,Not Available,Not Available
1000450300147,ULB ROAD,PERIYASAMY LAYOUT,6.04,34.37,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300148,ULB ROAD,PERIYASAMY LAYOUT,4.54,16.34,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300149,ULB ROAD,SANGANOOR ROAD,6.47,139.39,Not Available,Not Available,Available,Not Available,Not Available
1000450300150,ULB ROAD,THANDAL RAMAN  STREET,3.66,105.94,Not Available,Not Available,Available,Not Available,Not Available
1000450300151,ULB ROAD,THANDAL RAMAN  STREET,3.66,30.82,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300152,ULB ROAD,KANNAPPA NAGAR 3RD STREET,4.29,103.09,Not Available,Not Available,Available,Not Available,Not Available
1000450300153,ULB ROAD,THILAI NAGAR,5.35,22.11,Not Available,Not Available,Available,Not Available,Not Available
1000450300154,ULB ROAD,NARAYANASAMY LAYOUT,4.21,6.39,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300155,ULB ROAD,LAKSHMIAMMAL STREET,5.35,107.49,Not Available,Not Available,Available,Not Available,Not Available
1000450300156,ULB ROAD,SUNDARAPPA STREET / THILAI NAGAR,5.35,119.47,Not Available,Not Available,Available,Not Available,Not Available
1000450300157,ULB ROAD,NARAYANASAMY LAYOUT,4.21,133.75,Not Available,Not Available,Available,Not Available,Not Available
1000450300158,ULB ROAD,NARAYANASAMY LAYOUT,5.35,49.59,Not Available,Not Available,Available,Not Available,Not Available
1000450300159,ULB ROAD,NARAYANASAMY LAYOUT,5.35,86.32,Not Available,Not Available,Available,Not Available,Not Available
1000450300160,ULB ROAD,NARAYANASAMY LAYOUT,5.35,9.36,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300161,ULB ROAD,NARAYANASAMY LAYOUT,5.35,50.58,Not Available,Not Available,Available,Not Available,Not Available
1000450300162,ULB ROAD,NARAYANASAMY LAYOUT,5.35,56.09,Not Available,Not Available,Available,Not Available,Not Available
1000450300163,ULB ROAD,S P KANNUSAMY STREET,7.72,72.93,Not Available,Not Available,Available,Not Available,Not Available
1000450300164,ULB ROAD,THAIR ETTERY ROAD,5.12,48.13,Not Available,Not Available,Available,Not Available,Not Available
1000450300165,ULB ROAD,THAIR ETTERY ROAD,5.12,18.56,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300166,ULB ROAD,THAIR ETTERY ROAD,5.12,39.50,Not Available,Not Available,Available,Not Available,Not Available
1000450300002,ULB ROAD,KANNAPPA NAGAR 7TH STREET,4.29,95.16,Not Available,Not Available,Available,Not Available,Not Available
1000450300003,ULB ROAD,ARUL NAGAR,5.35,89.03,Not Available,Not Available,Available,Not Available,Not Available
1000450300004,ULB ROAD,THANDAL RAMAN  STREET,3.66,46.52,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300005,ULB ROAD,LENIN NAGAR,4.22,49.30,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300006,ULB ROAD,PATHI GOUNDER THOTTAM,5.65,116.54,Not Available,Not Available,Available,Not Available,Not Available
1000450300007,ULB ROAD,GANDHI NAGAR,4.50,125.41,Not Available,Not Available,Available,Not Available,Not Available
1000450300009,ULB ROAD,NEW MULLAI NAGAR,4.25,81.82,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300010,ULB ROAD,VEDHAMBAL NAGAR,6.57,146.88,Not Available,Not Available,Available,Not Available,Not Available
1000450300011,ULB ROAD,RANGAPPAN STREET,2.85,88.62,Not Available,Not Available,Available,Not Available,Not Available
1000450300012,ULB ROAD,RAJIV GANDHI SALAI,6.05,46.48,Not Available,Not Available,Available,Not Available,Not Available
1000450300014,ULB ROAD,R G NAGAR,5.12,45.75,Not Available,Not Available,Available,Not Available,Not Available
1000450300015,ULB ROAD,NARAYANASAMY LAYOUT,4.21,99.24,Not Available,Not Available,Available,Not Available,Not Available
1000450300017,ULB ROAD,KANNAPPA NAGAR 6TH STREET,4.29,75.55,Not Available,Not Available,Available,Not Available,Not Available
1000450300019,ULB ROAD,S P KANNUSAMY STREET,4.62,124.04,Not Available,Not Available,Available,Not Available,Not Available
1000450300021,ULB ROAD,M.G.R NAGAR,5.35,71.28,Not Available,Not Available,Available,Not Available,Not Available
1000450300022,ULB ROAD,NANJAPPA STREET,5.35,206.11,Not Available,Not Available,Available,Not Available,Not Available
1000450300023,ULB ROAD,LAKSHMIAMMAL STREET,5.35,26.95,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300024,ULB ROAD,VELLAMMAL STREET,5.12,67.68,Not Available,Not Available,Available,Not Available,Not Available
1000450300025,ULB ROAD,M.G.R NAGAR,5.35,97.25,Not Available,Not Available,Available,Not Available,Not Available
1000450300026,ULB ROAD,NARAYANASAMY GOUNDER STREET,7.72,137.22,Not Available,Not Available,Available,Not Available,Not Available
1000450300027,ULB ROAD,KANNAPPA NAGAR 5TH STREET,4.29,94.03,Not Available,Not Available,Available,Not Available,Not Available
1000450300028,ULB ROAD,KANNAPPA NAGAR 4TH STREET,4.29,97.54,Not Available,Not Available,Available,Not Available,Not Available
1000450300029,ULB ROAD,NARAYANASAMY LAYOUT,2.66,45.80,Not Available,Not Available,Available,Not Available,Not Available
1000450300030,ULB ROAD,S P KANNUSAMY STREET,7.72,53.21,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300031,ULB ROAD,S P KANNUSAMY STREET,8.06,8.44,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300032,ULB ROAD,NEHRU NAGAR,4.52,137.09,Not Available,Not Available,Available,Not Available,Not Available
1000450300033,ULB ROAD,ARUL NAGAR,4.52,24.87,Not Available,Not Available,Available,Not Available,Not Available
1000450300034,ULB ROAD,ARUL NAGAR,4.52,38.26,Not Available,Not Available,Available,Not Available,Not Available
1000570300001,ULB ROAD,MASAKALI PALAYAM ROAD,11.73,30.59,Not Available,Not Available,Not Available,Not Available,Not Available
1000460300267,ULB ROAD,GANESH LAYOUT MAIN ROAD,12.66,15.51,Not Available,Not Available,Not Available,Not Available,Not Available
1000460300268,ULB ROAD,GANESH LAYOUT MAIN ROAD,11.46,4.31,Not Available,Not Available,Not Available,Not Available,Not Available
1000460300266,ULB ROAD,GANESH LAYOUT MAIN ROAD,7.98,9.16,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300237,ULB ROAD,S P KANNUSAMY STREET,9.45,43.37,Not Available,Not Available,Available,Not Available,Not Available
1000100300074,ULB ROAD,HOSIMEINNA NAGAR,27.53,9.61,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300035,ULB ROAD,ARUL NAGAR,5.35,88.40,Not Available,Not Available,Available,Not Available,Not Available
1000450300036,ULB ROAD,ARUL NAGAR,5.35,56.28,Not Available,Not Available,Available,Not Available,Not Available
1000450300037,ULB ROAD,ARUL NAGAR,5.35,21.21,Not Available,Not Available,Available,Not Available,Not Available
1000450300038,ULB ROAD,ARUL NAGAR,5.35,52.30,Not Available,Not Available,Available,Not Available,Not Available
1000450300039,ULB ROAD,S P KANNUSAMY STREET,9.06,4.78,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300040,ULB ROAD,ARUL NAGAR,5.35,40.16,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300041,ULB ROAD,R G NAGAR,4.48,100.15,Not Available,Not Available,Available,Not Available,Not Available
1000450300042,ULB ROAD,RAMAR STREET,5.35,66.04,Not Available,Not Available,Available,Not Available,Not Available
1000450300043,ULB ROAD,AGAMUDAIYAR STREET,5.35,134.57,Not Available,Not Available,Available,Not Available,Not Available
1000450300044,ULB ROAD,RAMAR STREET,5.35,33.87,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300045,ULB ROAD,AGAMUDAIYAR STREET,5.35,66.60,Not Available,Not Available,Available,Not Available,Not Available
1000450300046,ULB ROAD,SUNDARAPPA STREET / THILAI NAGAR,5.35,33.42,Not Available,Not Available,Available,Not Available,Not Available
1000450300047,ULB ROAD,ANBU NAGAR / THILAI NAGAR,5.35,35.45,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300048,ULB ROAD,THILAI NAGAR,5.35,35.64,Not Available,Not Available,Available,Not Available,Not Available
1000450300049,ULB ROAD,NARAYANASAMY LAYOUT,4.21,44.85,Not Available,Not Available,Available,Not Available,Not Available
1000450300050,ULB ROAD,THILAI NAGAR,5.35,72.22,Not Available,Not Available,Available,Not Available,Not Available
1000450300051,ULB ROAD,THILAI NAGAR,5.35,23.77,Not Available,Not Available,Available,Not Available,Not Available
1000450300052,ULB ROAD,MURUGAN NAGAR (II) STREET CROSS-2,5.12,52.46,Not Available,Not Available,Available,Not Available,Not Available
1000450300053,ULB ROAD,THAIR ETTERY ROAD,5.12,26.72,Not Available,Not Available,Available,Not Available,Not Available
1000450300054,ULB ROAD,NARAYANASAMY LAYOUT,5.35,27.35,Not Available,Not Available,Available,Not Available,Not Available
1000450300055,ULB ROAD,NARAYANASAMY LAYOUT,4.21,63.39,Not Available,Not Available,Available,Not Available,Not Available
1000450300056,ULB ROAD,NARAYANASAMY LAYOUT,4.21,32.75,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300057,ULB ROAD,NARAYANASAMY LAYOUT,4.21,87.06,Not Available,Not Available,Available,Not Available,Not Available
1000450300058,ULB ROAD,NARAYANASAMY LAYOUT,4.21,54.67,Not Available,Not Available,Available,Not Available,Not Available
1000450300059,ULB ROAD,PERIYASAMY LAYOUT,6.04,166.25,Not Available,Not Available,Available,Not Available,Not Available
1000450300060,ULB ROAD,AYYAVU STREET,3.33,93.70,Not Available,Not Available,Available,Not Available,Not Available
1000450300061,ULB ROAD,R G NAGAR,5.12,100.32,Not Available,Not Available,Available,Not Available,Not Available
1000450300062,ULB ROAD,RANGAPPAN STREET,2.46,52.92,Not Available,Not Available,Available,Not Available,Not Available
1000450300063,ULB ROAD,ARUL NAGAR,5.35,31.25,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300064,ULB ROAD,ARUL NAGAR,5.35,38.83,Not Available,Not Available,Available,Not Available,Not Available
1000450300065,ULB ROAD,ARUL NAGAR,5.35,76.49,Not Available,Not Available,Available,Not Available,Not Available
1000450300066,ULB ROAD,OOR VELAPPAR STREET,4.06,91.73,Not Available,Not Available,Available,Not Available,Not Available
1000450300067,ULB ROAD,NARAYANASAMY LAYOUT,5.35,56.38,Not Available,Not Available,Available,Not Available,Not Available
1000450300068,ULB ROAD,SHANMUGA GOUNDER STREET,3.50,57.74,Not Available,Not Available,Available,Not Available,Not Available
1000450300069,ULB ROAD,S P KANNUSAMY STREET,5.65,120.87,Not Available,Not Available,Available,Not Available,Not Available
1000450300070,ULB ROAD,SANGANOOR ROAD,6.47,56.84,Not Available,Not Available,Available,Not Available,Not Available
1000450300071,ULB ROAD,PERIYASAMY LAYOUT,6.04,59.05,Not Available,Not Available,Available,Not Available,Not Available
1000450300072,ULB ROAD,PERIYASAMY LAYOUT,6.04,121.20,Not Available,Not Available,Available,Not Available,Not Available
1000450300073,ULB ROAD,PERIYASAMY LAYOUT,6.04,84.20,Not Available,Not Available,Available,Not Available,Not Available
1000450300074,ULB ROAD,PERIYASAMY LAYOUT,6.04,164.44,Not Available,Not Available,Available,Not Available,Not Available
1000450300075,ULB ROAD,TNEB COLONY,6.86,64.77,Not Available,Not Available,Available,Not Available,Not Available
1000450300076,ULB ROAD,KANNAN NAGAR,7.12,56.75,Not Available,Not Available,Not Available,Not Available,Not Available
